Device,FQN,Vendor,OS,"OS Version",Model,"Management Address",Source,"Command Files"
gblondc1swi001,gblondc1swi001.hm.com,Cisco,XE,16.6.5,WS-C3650-24PD,10.20.11.180,managed,34
gblonho1hap401,gblonho1hap401,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.16.36,cdp,0
gblonho1hap402,gblonho1hap402,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.16.33,cdp,0
gblonho1hap403,gblonho1hap403,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.16.34,cdp,0
gblonho1hap404,gblonho1hap404,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.17.19,cdp,0
gblonho1hap405,gblonho1hap405,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.17.18,cdp,0
gblonho1hap406,gblonho1hap406,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.17.3,cdp,0
gblonho1hap407,gblonho1hap407,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.17.17,cdp,0
gblonho1hap408,gblonho1hap408,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.17.107,cdp,0
gblonho1hap501,gblonho1hap501,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.17.22,cdp,0
gblonho1hap502,gblonho1hap502,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.16.37,cdp,0
gblonho1hap503,gblonho1hap503,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.17.21,cdp,0
gblonho1hap504,gblonho1hap504,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.16.40,cdp,0
gblonho1hap505,gblonho1hap505,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.16.57,cdp,0
gblonho1hap506,gblonho1hap506,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.17.179,cdp,0
gblonho1hap507,gblonho1hap507,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.16.42,cdp,0
gblonho1hap508,gblonho1hap508,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.16.38,cdp,0
gblonho1hap601,gblonho1hap601,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.16.250,cdp,0
gblonho1hap602,gblonho1hap602,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.16.41,cdp,0
gblonho1hap603,gblonho1hap603,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.17.149,cdp,0
gblonho1hap604,gblonho1hap604,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.17.41,cdp,0
gblonho1hap605,gblonho1hap605,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.16.52,cdp,0
gblonho1hap606,gblonho1hap606,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.17.47,cdp,0
gblonho1hap607,gblonho1hap607,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.17.33,cdp,0
gblonho1hap608,gblonho1hap608,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.186.17.138,cdp,0
