name,category,strucBreaks
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__sent-parameter-header-mess0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__sent-parameter-option-mess0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__received-parameter-error-m0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__received-parameter-header-0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__received-parameter-option-0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__sent-echo-request-messages0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__sent-echo-reply-messages,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__received-echo-request-mess0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__received-echo-reply-messag0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__sent-parameter-unknown-typ0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__received-parameter-unknown0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__sent-unreachable-unknown-t0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__received-unreachable-unkno0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]ipv6-node-discovery__sent-router0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]ipv6-node-discovery__sent-redire0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]ipv6-node-discovery__received-ro0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]ipv6-node-discovery__received-re0/RP0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__local-destination-packets,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__format-errors,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__truncated-packets,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__hop-count-exceeded-packets0/RP0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__bad-source-address-packets0/RP0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__bad-header-packets,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__unknown-option-type-packet0/RP0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__unknown-protocol-packets,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__fragments,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__reassembled-packets,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__reassembly-failures,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__reassembly-maximum-drops,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__forwarded-packets,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__source-routed-packets,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__fragmented-packets,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__fragment-count,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__fragment-failures,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__no-route-packets,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__too-big-packets,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__received-multicast-packets0/RP0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__sent-multicast-packets,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__miscellaneous-drops,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/RP0/CPU0]ipv6__lisp-v4-encap-packets,Constant Slopes,
